台湾菜,阿美海产店,阿美海产店,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,金国排骨,金国排骨,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,巨无霸花枝须,巨无霸花枝须,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,天仁喫茶趣,天仁喫茶趣(汉神巨蛋店),0,左营车站,0.0,0.0,0.0
台湾菜,小林鸡肉饭,小林鸡肉饭,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,汉来蔬食,汉来蔬食,0,佛光山,0.0,0.0,0.0
台湾菜,宗记药炖排骨．当归鸭,宗记药炖排骨．当归鸭,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,Belfort Bistro 贝佛街餐坊,Belfort Bistro 贝佛街餐坊,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,老龙加热卤味,老龙加热卤味,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,南丰鲁肉饭,南丰鲁肉饭(建工店),0,金狮湖,0.0,0.0,0.0
台湾菜,杨记肉圆割包,杨记肉圆割包,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,酱肉卷饼,酱肉卷饼,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,东隆堂,东隆堂,0,真爱码头,0.0,0.0,0.0
台湾菜,丽香苑,丽香苑,0,高雄近郊,0.0,0.0,0.0
台湾菜,美浓客家菜,美浓客家菜(小港机场店),0,,0.0,0.0,0.0
台湾菜,新悦铁板烧,新悦铁板烧(汉神店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,奇美泰国虾,奇美泰国虾,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,品鲜铁板烧,品鲜铁板烧,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,海宝国际大饭店,海宝国际大饭店,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,林天生肉燥饭,林天生肉燥饭,0,高雄近郊,0.0,0.0,0.0
台湾菜,宝岛运动公园杏仁豆腐冰,宝岛运动公园杏仁豆腐冰,0,左营车站,0.0,0.0,0.0
台湾菜,满香土鸡城,满香土鸡城,0,高雄近郊,0.0,0.0,0.0
台湾菜,品鲜牛肉面,品鲜牛肉面,0,高雄近郊,0.0,0.0,0.0
台湾菜,嘉辉烧肉饭,嘉辉烧肉饭,0,三多商圈,0.0,0.0,0.0
台湾菜,汉来饭店京都厅,汉来饭店京都厅,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,夜坡 Cote de Nuits,夜坡 Cote de Nuits,0,三多商圈,0.0,0.0,0.0
台湾菜,河边海鲜餐厅(香蕉码头),河边海鲜餐厅(香蕉码头),0,西子湾景区,0.0,0.0,0.0
台湾菜,洪家三代麻油鸡,洪家三代麻油鸡,0,梦时代商圈,0.0,0.0,0.0
台湾菜,海大王澎湖海鲜餐厅,海大王澎湖海鲜餐厅,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,牡丹园经典台湾料理,牡丹园经典台湾料理,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,阿德虱目鱼专卖店,阿德虱目鱼专卖店,0,高雄火车站,0.0,0.0,0.0
台湾菜,勋台湾活海鲜(原永定海鲜),勋台湾活海鲜(原永定海鲜),0,梦时代商圈,0.0,0.0,0.0
台湾菜,满家小馆,满家小馆,0,三多商圈,0.0,0.0,0.0
台湾菜,老牌周记烧肉饭,老牌周记烧肉饭,0,高雄近郊,0.0,0.0,0.0
台湾菜,霸味姜母鸭,霸味姜母鸭(民生店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,郭家肉燥饭,郭家肉燥饭(锦田路老店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,潮州牛肉店,潮州牛肉店,0,高雄国际机场,0.0,0.0,0.0
台湾菜,梦时代~雅悦会馆,梦时代~雅悦会馆,0,梦时代商圈,0.0,0.0,0.0
台湾菜,85美丽湾,85美丽湾,0,三多商圈,0.0,0.0,0.0
台湾菜,庙边家常小炒,庙边家常小炒,0,西子湾景区,0.0,0.0,0.0
