川菜,重庆饭店
云南菜,阿叶小竹楼
云南菜,姐妹饭店
云南菜,恒通食府
云南菜,茶苑饭店
云南菜,振华饭店
云南菜,施甸饭店
云南菜,缘聚风花雪月休闲吧
云南菜,竹苑(东南门店)
云南菜,华祥园饭店
云南菜,碧吉饭店
云南菜,旺旺饭店
云南菜,泰丰楼饭店
粤菜,逢缘酒家
清真菜,回族饭店
火锅,玛必火锅王
小吃面食,黄记面馆
快餐简餐,双龙饭店
快餐简餐,竹韵餐馆
快餐简餐,金孔雀饭店
面包甜点,肩上客冷饮店
面包甜点,一品鲜糕点
茶馆,红场茶馆
茶馆,红河谷茶楼
酒吧,蓝色经典酒吧
酒吧,爵色九八
酒吧,旧时光音乐酒吧
其他,抚仙湖生态石锅鱼
其他,福妈妈永和豆浆(镇康县)
其他,下一站奶茶文化专门店
