川菜,江源川味酒楼
云南菜,胖大妈土鸡店
云南菜,泉水无渣冷锅鱼
云南菜,草墩罗非鱼庄
云南菜,永顺漆油鸡
云南菜,山村小毛驴
云南菜,凤记鲜汤鱿鱼鸡
云南菜,天下一碗
云南菜,沧江风情园
云南菜,四季风味园
云南菜,福泰相厨
云南菜,隆华饭店
云南菜,保山羯羊馆
云南菜,知味轩
云南菜,建水风味园
云南菜,香茗酒楼(经贸店)
清真菜,江尾回族食店
清真菜,永平回族饭店
火锅,锅福城
火锅,重庆白天鹅火锅城
火锅,拉玛人家农家乐
火锅,肥牛市府
火锅,原味羊肉火锅店
小吃面食,担担饺面馆
快餐简餐,金福园美食
快餐简餐,三江烧烤城
快餐简餐,湖南特色牛肉牛杂米线
烧烤,鑫鑫石板烧烤
烧烤,小阿斗美食烧烤火锅(兰坪分店)
面包甜点,瑞雪缘
面包甜点,君意饼屋
茶馆,寻茶记
茶馆,红苹果茶苑
茶馆,紫藤茶坊
茶馆,土风茶坊
茶馆,香格桑茶楼
咖啡厅,玉水兰郡
酒吧,金合号酒吧
其他,温州海鲜酒楼
