冰淇淋,Fassi 1880
其他西餐,Osteria Romana
其他西餐,Orso 80
其他西餐,Baires 2
其他西餐,La Gattabuia
其他西餐,Macchiato Caffe
其他西餐,Evangelista
其他西餐,Alfredo alla Scrofa
其他西餐,Perfetto Rinascente Roma
其他西餐,Charly's Sauciere
其他西餐,Caffetteria-Bistrot Chiostro del Bramante
其他西餐,Il Giardino pamphili
其他西餐,Abbey Theatre Irish Pub Rome
其他西餐,Osteria delle Commari
其他西餐,Il Melarancio
其他西餐,Hostaria Rasella
其他西餐,Carioca
其他西餐,La Pentolaccia
其他西餐,MAUD ROMA
其他西餐,Ristorante Roof Garden Hotel Forum Roma
其他西餐,Ambasciata di Capri
其他西餐,Gladiator Chicken
其他西餐,Alle due fontanelle
其他西餐,Gaetano Costa
其他西餐,Le Jardin de Russie
其他西餐,Apuleius
其他西餐,L'Acino che Vola
其他西餐,La Vittoria Ristorante Pizzeria
其他西餐,Anti-Luzzi Bar Apericena
其他西餐,Otello alla Concordia
其他西餐,La Griffe Restaurant
其他西餐,Antica Trattoria Tritone
其他西餐,Roadhouse Grill
其他西餐,Dolce Vita
其他西餐,Checchino Dal 1887
其他西餐,Stuzziko
其他西餐,Shangri La Corsetti
其他西餐,Trattoria-Pizzeria da Sergio
其他西餐,Pasta & Love
其他西餐,I Lecci
其他西餐,Ristorante Pizzeria la Palma
其他西餐,Da Franco Ar Vicoletto
其他西餐,Bingol Kebab
其他西餐,Bar Tre Scalini
其他西餐,Pierluigi
其他西餐,Ricomincio da Tre
其他西餐,La Fraschetta de Roma
其他西餐,Ristorante La Barchetta
其他西餐,Springfield
其他西餐,Bella Napoli
其他西餐,I Bistrot
其他西餐,Vincenzo alla Lungaretta
其他西餐,Carlo Menta Talevi Luigi e Luciano
其他西餐,Ristorante La Rustichella
其他西餐,Sha Bar
其他西餐,Bar L'Incontro
其他西餐,Kilimanjaro
其他西餐,Gerbillo Furioso
其他西餐,Harry's Bar
其他西餐,BA Ghetto
其他西餐,Il Leoncino
其他西餐,Shooters
其他西餐,Papa Baccus
其他西餐,Ristorante Ciro
其他西餐,El Cubano
其他西餐,Il Grillo Brillo
其他西餐,osteria rouge
其他西餐,Moonshine
其他西餐,Burger King
其他西餐,Saby's Express
其他西餐,Caffe Valadier
其他西餐,Cacio e Pepe
其他西餐,Taberna de' Gracchi
其他西餐,A Casa Mia
其他西餐,Il Pizzi Pizza
其他西餐,La Caveja
其他西餐,Mamà
其他西餐,La Scena Ristorante
其他西餐,Kin's Crunchy Chicken
其他西餐,Aduliss
其他西餐,Lobster Pot
其他西餐,Sharazad Ristorante Pizzeria
其他西餐,Panegirico Cafè
其他西餐,Da Gemma alla Lupa
其他西餐,Hoi
其他西餐,Pastificio Guerra
其他西餐,La Dogana Food
其他西餐,Relais La Piscine
其他西餐,Derry Rock Pub
其他西餐,Sapori D'Ischia
其他西餐,The Cabiria del Rome Marriott Grand Hotel Flora
其他西餐,GIULIO CESARE
其他西餐,Madame Baguette
其他西餐,Sapori Sardi
其他西餐,L'Arcidiavolo
其他西餐,Yogo Cafe
其他西餐,Tappa Fissa
其他西餐,Seconda Fila Beer & Burger
其他西餐,Osteria Della Forchetta
其他西餐,TaglieRe BBQ
其他西餐,Lannister Pub
其他西餐,Masseria Duca d'Ascoli
其他西餐,Osteria Barbazza
其他西餐,Ristorante Cervinia
其他西餐,Ham Holy Burger Via Chiana
其他西餐,Ristorante Tanur
其他西餐,Le Gole di Amatrice
其他西餐,Stravizio
其他西餐,Taste Good 
其他西餐,Magna Che Te Passa
其他西餐,20e20 Osteria Enoteca
其他西餐,Dondolo
其他西餐,La Piazzetta Di Montesacro
其他西餐,SA Sartiglia
其他西餐,Il Locale
其他西餐,Titanic Pub
其他西餐,Pesci Fritti Trattoria
其他西餐,Hostaria Romanesca
其他西餐,Barnum Cafè
其他西餐,La Moretta
其他西餐,La Danesina
其他西餐,Il Goccetto
其他西餐,SEC Sedie & Cantine
其他西餐,Il Ritrovo del Gusto
其他西餐,Scholars Lounge Rome
其他西餐,Abruzzi
其他西餐,Assaggi d'Autore
其他西餐,Taja e Coci
其他西餐,Volpetti Piu
其他西餐,Moli
其他西餐,Elleniko
其他西餐,Rec 23
其他西餐,Anima Mundi
其他西餐,La Perla Calabra
其他西餐,L'Archeologia
其他西餐,Beber Churrascaria
其他西餐,Osteria dei Pazzi
其他西餐,Il Conte Max
其他西餐,Sgarbatella
其他西餐,Hopside
其他西餐,Perbacco
其他西餐,Ristorante Cento Lab
其他西餐,carpe diem
其他西餐,Meating
其他西餐,La valle del sacco
其他西餐,"Obika Mozzarella Bar, Parioli"
其他西餐,Ambasciata d'Abruzzo
其他西餐,At Home - Food And Bar
其他西餐,Celestina ai Parioli
其他西餐,Molo 10
其他西餐,Acquolina Hostaria
其他西餐,Giamat
其他西餐,Ristorante Puro
其他西餐,Osteria Hamburgheria Pasta Madre
其他西餐,La Dolceroma
其他西餐,Antico Forno Del Ghetto
其他西餐,Antico Forno Roscioli
其他西餐,La Cicala e La Formica
其他西餐,L'Eau Vive
其他西餐,Sant' Eustachio
其他西餐,Pantha Rei
其他西餐,Il Pozzo delle Cornacchie
其他西餐,Grano
其他西餐,Enoteca Capranica
其他西餐,Ristorante Quinzi & Gabrieli
其他西餐,Obika Mozzarella Bar Parlamento
其他西餐,L'Incontro
其他西餐,Osteria Roma in Tavola
其他西餐,La Taverna del Parco
其他西餐,Nottingham
其他西餐,Dar Poeta Al Casale
其他西餐,Da Baffo
其他西餐,Mia Pizza Express
其他西餐,La Locanda degli Spiriti Allegri
其他西餐,Grandma Bistrot
其他西餐,El Patio
其他西餐,Escobrillo
其他西餐,Hopificio
其他西餐,La Piccola Abbazia
其他西餐,Binario 96
其他西餐,Taverna Greca Egeo
其他西餐,Cibare
其他西餐,Podere Rosa
其他西餐,Ristorante la Taverna
其他西餐,Chiu Sapore
其他西餐,L'Abruzzese
其他西餐,Creperia Michelangelo
其他西餐,ABC American Bar & Coffee
其他西餐,Il Carpaccio
其他西餐,Case e Campi
其他西餐,Ristorante Primo Posto
其他西餐,Osteria Da Checco Ar 65
其他西餐,Lo Scarabocchio
其他西餐,L'Ambasciata Calabrese
其他西餐,Dai Toscani
其他西餐,Dal Papa
其他西餐,Churrascaria Imperio Gaucho
其他西餐,Aglio Olio e Peperoncino da Roberto
其他西餐,Novequattro
其他西餐,Corno d'Africa
其他西餐,Meze Bistrot
其他西餐,Peso Restaurant & Bistrot
其他西餐,Il Ramerino
其他西餐,Osteria Mangiafuoco
其他西餐,Tutto Qua
其他西餐,Ristorante Eden
其他西餐,Ristorante Greco Akropolis
其他西餐,Hostaria Luce
其他西餐,Rumi Bottega Organica
其他西餐,Corsetti 1921
其他西餐,Le Mani in Pasta
其他西餐,Osteria Der Belli
其他西餐,Il Tarallo Allegro
其他西餐,Restaurante Realismo Màgico
其他西餐,Cacio e Pepe in Trastevere
其他西餐,La Scala in Trastevere
其他西餐,Mangianapoli
其他西餐,Ristorante Pizzeria Braceria IL GAUCHO
其他西餐,Imperio Inca II
其他西餐,Mesob
其他西餐,Da Gildo
其他西餐,Taverna del Mossob
其他西餐,Miraggio Club
其他西餐,I Diavoli da Sherif
其他西餐,Canne al Vento
其他西餐,Scaramouche
其他西餐,Ristorante Joseph
其他西餐,Ristorante La Seadas
其他西餐,Grano Duro Restaurant
其他西餐,Ristorante Edoardo
其他西餐,Ristorart
其他西餐,Granet al Roof Garden dell'Hotel Savoy
其他西餐,Saxophone Pub
其他西餐,H Club Doney
其他西餐,Pourquoi Brasserie
其他西餐,Pizzeria Formula 1
其他西餐,Taverna Barberini
其他西餐,Rossi Tiziano
其他西餐,The Yellow Bar & Arcade
其他西餐,Riad Nour
其他西餐,Ristorante La Pallacorda
其他西餐,Trattoria del Pollarolo
其他西餐,Temakinho Monti
其他西餐,The Fiddler's Elbow
其他西餐,Ristorante Rinaldi al Quirinale
其他西餐,Trattoria Pizzeria 'al Venezia'
其他西餐,Pub 800
其他西餐,Pani e Pesci
其他西餐,Orlando Sapori di Sicilia
其他西餐,Daruma Sushi Piazza Bologna
其他西餐,Ristorante Eleonora D'Arborea
其他西餐,M'Addubbai
其他西餐,Ristorante Villa Paganini
其他西餐,Dietro le Quinte
其他西餐,La Locomotiva
其他西餐,Il Belli
其他西餐,Ristorante Aroma at Palazzo Manfredi
其他西餐,Erzinio Food
其他西餐,Boccon Divino Rainbow Magicland
其他西餐,Sapori e Delizie
其他西餐,Da Enzo Al 29
其他西餐,Taverna Ripetta
其他西餐,McDonald's
其他西餐,Jack Bullet
其他西餐,Mc Donald's via degli Stradivari
其他西餐,Gran Caffe Cavour
其他西餐,Bar Venezia Gelateria Tabacchi
其他西餐,Domiziano
其他西餐,Varsi Bistrot
其他西餐,DadaUmpa
其他西餐,Knick Knack Yoda
其他西餐,Nudo e Crudo
其他西餐,Pub il Blob
其他西餐,Ristorante Giovanni dal 1933
其他西餐,ristorante greco via Piave
其他西餐,Pescheria Osteria Dal Sor Duilio
其他西餐,Il bar sotto il mare
其他西餐,Ristorante Cesarina
其他西餐,Piccolo Abruzzo
其他西餐,Sanacafe'
其他西餐,Panificio Bonci
其他西餐,Osteria Dell'Angelo
其他西餐,Borsieri
其他西餐,Le Cose Buone e Giuste
其他西餐,Tulait
其他西餐,Osteria Scaloni
其他西餐,Churrascaria Berimbau
其他西餐,Osteria del 10-20-30
其他西餐,Ristorante The View
其他西餐,Ristorante Pizzeria Candido
其他西餐,Romario
其他西餐,Mama Tequila
其他西餐,Gatto bianco
其他西餐,Ristorante la Tana Del Polpo
其他西餐,Da Gabriele
其他西餐,casale 900
其他西餐,Capu Scintu
其他西餐,I Limoncini
其他西餐,Le Bon Boulanger
其他西餐,Le Petit Bio
其他西餐,Semplice
其他西餐,C1B0
其他西餐,Al Bric
其他西餐,Acchiappafantasmi
其他西餐,Les Affiches
其他西餐,Tapa Loca
其他西餐,Sangallo
其他西餐,Dabrunello
其他西餐,Gasparone
其他西餐,Kilo Sabor Do Brasil
其他西餐,Da Oio a Casa Mia
其他西餐,Kiki's Kitchen
其他西餐,Agustarello
其他西餐,Consolini
其他西餐,Tree Folk’s Celio
其他西餐,Portoricano diner
其他西餐,Gli Artisti Della Pizza
其他西餐,Osteria Tre Fontane
其他西餐,L'Astice Blu
其他西餐,Galloway
其他西餐,Hostaria dei Lincei
其他西餐,Cecilia Metella
其他西餐,Ristorante I Tre Fratelli
其他西餐,gECOBIOndo
其他西餐,Al Posticino - Hosteri Art
其他西餐,Rewine
其他西餐,Al Risto
其他西餐,L'Asino che Vola
其他西餐,"Mind, Cibo per la Mente"
其他西餐,Numa
其他西餐,The Donegal
其他西餐,Leon
其他西餐,La Friseria (Flaminio)
其他西餐,La Baita
其他西餐,MET
其他西餐,Cime di Rape
其他西餐,BellaCarne Kosher Grill
其他西餐,Ba Ghetto Milky
其他西餐,Yesh Shenì
其他西餐,Shilo
其他西餐,Fresco
其他西餐,Rossopomodoro
其他西餐,Anticabibliotecavalle
其他西餐,Questo & Quello
其他西餐,I Quattro Templari
其他西餐,Blanco Restaurant
其他西餐,Piadina 4u
其他西餐,Yam Yam
其他西餐,Crossing Pub
其他西餐,Osteria La Pignatta
其他西餐,Ristorante Egeo
其他西餐,La Mosca Matta - Il Casale
其他西餐,ristorante Pirò
其他西餐,El Duende
其他西餐,Principe
其他西餐,PIACISSIMO
其他西餐,Hansel & Gretel
其他西餐,Trimani Il Winebar
其他西餐,Frog
其他西餐,Farina Re
其他西餐,Professione Caffè
其他西餐,Bar delle Palme
其他西餐,Ristorante Valle dei Casali
其他西餐,Il Gatto e la Volpe
其他西餐,Mondo Arancina
其他西餐,De Gusto
其他西餐,Le Terrazze
其他西餐,Palatofino
其他西餐,Ristorante Mediterraneo
其他西餐,C'e' Pasta... e Pasta!
其他西餐,Le Garage
其他西餐,La taberna de Pedro
其他西餐,Ostaria Dal 1931
其他西餐,Le Civette
其他西餐,Finn Mac Cumhal
其他西餐,Break Out Pub
其他西餐,Ristorante da Spaghetto
其他西餐,Osteria da Meo Patacca
其他西餐,Santa Vacca
其他西餐,Ai Spaghettari
其他西餐,Ristorante Dal Carbonaro
其他西餐,Asinocotto
其他西餐,Ristorante Pizzeria Popi-Popi
其他西餐,Ouzeri
其他西餐,Energia Do Brasil
其他西餐,Il Ciak
其他西餐,Caffe Dadaumpa
其他西餐,Beige
其他西餐,8millimetri
其他西餐,"Apluvio, la Puglia che piace"
其他西餐,Beerland Trilussa
其他西餐,Aquila 2
其他西餐,Pais Paisa
其他西餐,Arancina Matta
其他西餐,Sunrise Wine bar
其他西餐,Civico 84
其他西餐,La Forchetta di Armando e Carmelina
其他西餐,Hamburgeseria
其他西餐,Ruins Pub
其他西餐,Da Manolo
其他西餐,Ristorante romeno Bistrot
其他西餐,Un Posticino
其他西餐,Ferrovecchio
其他西餐,Carma La Fame
其他西餐,Flann O'Brien
其他西餐,Burguer King
其他西餐,Lilac Bar
其他西餐,Asmara
其他西餐,Le Cru
其他西餐,Angelucci wine-bar restaurant & more
其他西餐,Settimio All'arancio
其他西餐,acquasalata-Fish&Lounge
其他西餐,Druid's Den
其他西餐,da Robertino
其他西餐,Creo Boulangerie Cafè
其他西餐,C.I.BO.
其他西餐,Ba''Ghetto (Piazza Bologna)
其他西餐,Le Med cuisine de bar
其他西餐,Bla Kongo
其他西餐,Napoletano's Restaurant Parioli
其他西餐,Pianostrada Laboratoriodicucina
其他西餐,Ristorante La Stiva
其他西餐,Dolce Bar
其他西餐,Alla Frasca - Bioristoro Romano
其他西餐,Crazy Bull Cafè Roma Eur
其他西餐,Bakery&Co
其他西餐,Ristorante - Pizzeria Napul'e
其他西餐,Il Forno Dei Desideri
其他西餐,Wiener haus
其他西餐,Vanni
其他西餐,Gauchos Pizza & Grill
其他西餐,Caffe Belsito
其他西餐,Il Fontanile
其他西餐,Tornatora
其他西餐,Ristorante I bocconcini di Casa de Feo
其他西餐,Bakery House
其他西餐,Kosher
其他西餐,28BASEMENT
其他西餐,Devil's Chair
其他西餐,Dervock Irish Pub
其他西餐,Ferro e Fuoco
其他西餐,Walter
其他西餐,Albistro
其他西餐,Il Clan
其他西餐,Peak Book
其他西餐,Chigi
其他西餐,McDonald's
其他西餐,Roma
其他西餐,Charro Cafe
其他西餐,Roadhouse Grill
其他西餐,Rosso Ciliegia - Pasticceria e Design
其他西餐,La Caravella Restaurant
其他西餐,Le Vele
其他西餐,Bedda Sicilia
其他西餐,McDonald's
其他西餐,McDonald's
其他西餐,Ristorante La Brasserie
其他西餐,Pomodoro e Basilico
其他西餐,La Taverna del West
其他西餐,Paninoteca Kebab DI Bekhit Khaled
其他西餐,La Tana Della Strega
其他西餐,S.P.Q.R
其他西餐,Bisteccheria
其他西餐,Lochness pub
其他西餐,Kairos Kafe
其他西餐,Da Marco al Porto di anzio
其他西餐,Casa Del Cinema
其他西餐,Mari Café Prince Spa
其他西餐,Il Circolo della Pipa
其他西餐,San Bartolomeo Street Food
其他西餐,Ke Kebab
其他西餐,Pasticceria Austriaca
其他西餐,Subway
其他西餐,Il IV Senso SRL
其他西餐,Papa Giovanni
其他西餐,Dakota
其他西餐,Stop&Go
其他西餐,Cafe Mancini Restaurant
其他西餐,Pappa e Ciccia
其他西餐,Ristorante Cinecittà da Nino
其他西餐,Osteria del giuda ballerino
其他西餐,Irish Pub Il Punto
其他西餐,Le Streghe
其他西餐,Arepizzas​
其他西餐,Sacco - Pizza a Domicilio
其他西餐,Bard Rock Caffe
其他西餐,Mahalia
其他西餐,incontrada
其他西餐,Pride Pub
其他西餐,Casale Incontrada
其他西餐,La Nuova Pineta-Grottaferrata
其他西餐,Uno Lounge Bar
其他西餐,Euro Bangla Ristorante
其他西餐,Pizzeria Fierro
其他西餐,Industrie Mp2
其他西餐,Ojetti Caffe
其他西餐,Villa Verde
其他西餐,La Brace
其他西餐,The Nag's Head
其他西餐,Cucoo and Camicia
其他西餐,Pizzeria Palinuro
其他西餐,Hermand Bier Stube
其他西餐,Gaucho do Brasil
其他西餐,Bar ventricini
其他西餐,Avigail Kosher
其他西餐,Le Vere Grotte
其他西餐,Mamya
其他西餐,Capricci di Sicilia
其他西餐,SunBear Park
其他西餐,Bufala Cozze e Brace
其他西餐,Una Botte e Via...
其他西餐,Rossopomodoro
其他西餐,Brasil Cafè
其他西餐,Ristorante Pizzeria da Nonna
其他西餐,Pan Zai
其他西餐,Bros Roma
其他西餐,Paninarte
其他西餐,Roma Incontrada Primavera
其他西餐,Kin's Crunchy Chicken
其他西餐,Ristorante da Cencia
其他西餐,La Canonica
其他西餐,La sosta da Romolo e Remo
其他西餐,Gaudemus
其他西餐,Tidiro
其他西餐,El Paraiso del Paladar
其他西餐,La Taverna dei Gordiani
其他西餐,Ferrarino
其他西餐,La Frontera
其他西餐,Pizzeria Lo Stuzzichino
其他西餐,Oracolo Pellerossa
其他西餐,Tulami
其他西餐,Fermento Coffe Lounge Bar
其他西餐,Vecchia Castiglia
其他西餐,Piadineria Mezzanotte
其他西餐,Chicken hut piazza irnerio
其他西餐,pizza design
其他西餐,Sfizio E Spicchio
其他西餐,Frizzo
其他西餐,Ristorante Tiffany
其他西餐,Rendez Vous Ristobar
其他西餐,Arcobaleno Pizza E Kebab
其他西餐,Scoglio Di Frisio
其他西餐,Mangiarte
其他西餐,Ranieri
其他西餐,Higlander Pub
其他西餐,La Lupa
其他西餐,Finnegan Irish Pub
其他西餐,Cork's Inn
其他西餐,Gastone
其他西餐,Vecchio Franklyn
其他西餐,TOROS Y TAPAS
其他西餐,Romano ristorante
其他西餐,Cafe Veneto
其他西餐,Il Tartufo Nero S.R.L
其他西餐,3 Joli
其他西餐,Old Wild West Romaest
其他西餐,Vanni
其他西餐,Rossopomodoro
其他西餐,Rossopomodoro
其他西餐,Ristorante Ape Regina
其他西餐,The Blacksmith Pub
其他西餐,Ristorante I Pesciolini
其他西餐,Sensus Restaurant
其他西餐,PanDivino
其他西餐,Pasta Imperiale
其他西餐,Al Presidente
其他西餐,Albrecht
其他西餐,New Year's Eve White Restaurant
其他西餐,Gavius
其他西餐,Jet Set
其他西餐,Ilios
其他西餐,Piadineria Miss Piadina
其他西餐,Irish Village
其他西餐,Piadineria
其他西餐,Heaven Gourmet Club Restaurant
其他西餐,Metamorfosi Restaurant
其他西餐,Due Rive
其他西餐,Bowling Brunswick
其他西餐,Diagonal Tapas and Wine Bar
其他西餐,Gray's
其他西餐,Pantagruel Ristorante
其他西餐,Centrale Ristotheatre
其他西餐,Hostaria Al Valle
其他西餐,K club
其他西餐,La Voglia
其他西餐,L'Antico Chalet
其他西餐,Trinacria Taverne
其他西餐,Bentu & Soi
其他西餐,Old Wild West
其他西餐,Arcadia
其他西餐,L'arrosticino Roma
其他西餐,Il Cavalluccio Marino
其他西餐,Bisteccheria da Mario
其他西餐,Brasilcafe
其他西餐,Trattoria dei cacciatori
其他西餐,I BUFALINI BISTROT
其他西餐,Tam O'Shanter Scottish Pub
其他西餐,FeelinGood
其他西餐,ValoriCaffe
其他西餐,MERIDIONALE - Trattoria a Trastevere
其他西餐,La triade del gusto
其他西餐,La Caletta
其他西餐,Arlu
其他西餐,Borgo Pio 92
其他西餐,L'Hamburgheria di Eataly
其他西餐,Il Gazebo
其他西餐,American Bar
其他西餐,Roma Via Crescenzio
其他西餐,Fa-bio
其他西餐,Ristorante 
其他西餐,eBar
其他西餐,Shams
其他西餐,Zizzi Pizza
其他西餐,Burger King
其他西餐,Matermatuta
其他西餐,Il Gatto e L'Uva
其他西餐,Hosteria del Panino
其他西餐,Pizzeria 
其他西餐,Oriental Food Kosher
其他西餐,Mokarabia Caffe
其他西餐,Anima & Sapori
其他西餐,L'Imperiale
其他西餐,艾比尔啤酒坊
其他西餐,Epoca
其他西餐,Trattoria Pizzeria Verace
其他西餐,Hamburgeseria Burger-Bar
其他西餐,Il Padellaio Matto
其他西餐,L'Escargot
其他西餐,Chagat
其他西餐,Il Sanpietrino
其他西餐,Le Maschere
其他西餐,Le Bain
其他西餐,Falafel King
其他西餐,Gelateria Ping Pong
其他西餐,Bomboniera
其他西餐,Zi'zio ...Il Ristorante
其他西餐,Il conte zio
其他西餐,Ristorante Forcantina
其他西餐,Barrili 66 Kosher
其他西餐,BGallery Cafe
其他西餐,Ozi Vizi e Sfizi
其他西餐,Cucina Rosti
其他西餐,Bisque
其他西餐,08's Zero Otto
其他西餐,Il Cantiniere di Santa Dorotea
其他西餐,Da Giovanni
其他西餐,The Place
其他西餐,La Galea di Marcantonio
其他西餐,Parasiteo
其他西餐,Mythos
其他西餐,Arian Ristorante Persiano
其他西餐,Bistrot 23
其他西餐,El Bananito
其他西餐,Cotto Ristorante
其他西餐,El Toula
其他西餐,Le Pain Quotidien
其他西餐,De Angelis
中餐,望乡楼
中餐,天津饭店
中餐,周老爹
中餐,罗马温州一家人小吃店
中餐,Hong Kong F&B - Food & Beverages
中餐,大都会餐厅
中餐,Kuriya
中餐,中意饭店
中餐,La Capitale
中餐,新金洲酒家
中餐,Grande Secolo
中餐,Mandarin Chinese
中餐,Yami
中餐,金马火锅城
中餐,FU LI Hua
中餐,Tien Tsin
中餐,Dao
中餐,ELSI
中餐,La Sorgente
中餐,Ji - Li
中餐,Sushi e Noodles
中餐,Hua Lian
中餐,La Luce
中餐,巴宾顿茶室
中餐,Man Yi
中餐,Ristorante Cinese Cristallo 大皇城饭店
中餐,Grand Dragon
中餐,YA MIN YUAN
中餐,皮柯拉香港餐厅
中餐,Chinese Restaurant Internazionale
中餐,Nova Caffe
中餐,Il Nuovo Continente d'Oro
中餐,Vivi Bistrot - Palazzo Braschi
中餐,Bin Hai Ristorante Cinese
中餐,Niji Cafe
中餐,Xian Du
中餐,La Città Capitale
中餐,La Giunca
中餐,Ristorante Cinese Risorgimento
中餐,Ristorante Cinese 63
中餐,Ristorante Asian Delight
中餐,Stella d'oro
中餐,Ristorante cinese Xian Hean
中餐,Ristorante Asian Inn
中餐,Bistrot Quirino
中餐,Il mondo d'oro
中餐,Il Dragone d'Oro
中餐,Il Padiglione delle Cicogne
中餐,Ni Hao
中餐,Oishi Restaurant
中餐,Il Vigneto
中餐,Saporiti
中餐,Vento dell'Est
中餐,Il Maggiolino Ristorante
中餐,La Pace
中餐,Wen Ming Yuan - Civilta' Della Casa
中餐,Zen Garden
中餐,Guerrini dal 1958
中餐,Xi Hu
中餐,China Garden
中餐,Sushiko
中餐,Corona Magnifica
中餐,Wok and Roll
中餐,New Tokyo Roma
中餐,FU Gui
中餐,Specialita di Hong Kong
中餐,Sandokan
中餐,Ristorante Giapponese/Cinese Allegria
中餐,Shun Chang
中餐,Gui Lin
中餐,Cristallo
中餐,Grande Rubino
中餐,La citta del drago
中餐,La china chola
中餐,Er Primo
中餐,Green Tea
中餐,Gelsomino
中餐,La Grande Hai Cheng
中餐,Lago Azzurro
中餐,"Roma, Risrorante Budda"
中餐,Jing Yuan
中餐,Ci-Lin
中餐,Fashion Wok
中餐,Jun Hao F&B Di Mai Zi Yu
中餐,Leone D'oro
中餐,Caffe Valadier
中餐,Caffe Novecento
中餐,Cheng Du Di Xu Xiaolin
中餐,Bambu Restaurant
中餐,Yang Jing Citta' Delle Meraviglie
中餐,EUR China
中餐,Wok Restaurant
中餐,Tuba
中餐,Gemma
中餐,Ristorante Jubin
中餐,Fangzhou Risto Wok
中餐,La Piccola Capitale
中餐,Ristorante Amico
中餐,Yu Qi Lin
中餐,Jing Yuan Ristorante Cinese (Chinese)
中餐,China town
中餐,Ristorante Lin
中餐,New Hong Kong
中餐,New Wok
中餐,1688 WOK
中餐,Duo Wei Zhuang
中餐,Ristorante Le Yuang
中餐,"Asaki, Roma"
中餐,Joi
中餐,Vdo restaurant
中餐,La Felicità
中餐,Arashi
中餐,Ristorante Michelle
中餐,La Natura
中餐,Cinapoli
中餐,Sapporo
中餐,La Grande Capitale
中餐,La Felicita
中餐,Zenzero
中餐,Citta Sovrana
中餐,Ristorante Cinese
中餐,Il Grande Canale
中餐,Nuova Citta
中餐,Jin Hao Ristorante Cinese
中餐,Prosperita
中餐,Stella d'Oriente
中餐,Xihu Magliana
中餐,Ristorante Cinese Magnifico
中餐,Fu Du
中餐,Ristorante Simpatico
中餐,Fengsheng Canguan
中餐,Yong An
中餐,Ristorante Giardino Wok
中餐,Bar Guernica
中餐,La Rosa
中餐,La Citta D'oro
中餐,Sheng Long
中餐,Roma
中餐,Ristorante Cinese La primavera
中餐,La Giada
中餐,Citta Della Primavera
中餐,Streams (La Sorgente)
中餐,ristorante xian du via Aurelia
中餐,Hong Yang
中餐,Shen Long
中餐,Bin Hai
中餐,Wang Xiang Lou
中餐,Heng Li
中餐,Giapponese Allegria
中餐,Yu Olgiada
日韩料理,Kuriya
日韩料理,Kawayi
日韩料理,Yami
日韩料理,Sushi e Noodles
日韩料理,Sushi Tei
日韩料理,Zen Sushi
日韩料理,Gainn
日韩料理,Arirang
日韩料理,Doozo Art Books & Sushi
日韩料理,Somo
日韩料理,Hamasei
日韩料理,Daruma Sushi - Prati
日韩料理,Sushi Koi
日韩料理,Hokkaido
日韩料理,Xi Hu 2
日韩料理,Ristorante coreano Hana
日韩料理,Il mondo d'oro
日韩料理,Rokko Ristorante Giapponese
日韩料理,Sushi Ama
日韩料理,Daruma Sushi - Parlamento
日韩料理,Shinto
日韩料理,Kenko - Contemporary Japanese
日韩料理,Bi Won Ristorante Coreano
日韩料理,Oishi Restaurant
日韩料理,Sakura Sushi
日韩料理,Tenmaya
日韩料理,Taki Sushi
日韩料理,Hasekura
日韩料理,Junsei
日韩料理,Wen Ming Yuan - Civilta' Della Casa
日韩料理,Roppongi
日韩料理,Zen Garden
日韩料理,Konnichi Wa
日韩料理,Hokkaido
日韩料理,Hanabi
日韩料理,China Garden
日韩料理,Ginza
日韩料理,Daruma Sushi Eur
日韩料理,Specialita di Hong Kong
日韩料理,Ristorante Giapponese/Cinese Allegria
日韩料理,Sushiko
日韩料理,Giardino D'oriente
日韩料理,Ginza Gold
日韩料理,Bishoku Kobo
日韩料理,Waraku
日韩料理,La Grande Hai Cheng
日韩料理,Sushime
日韩料理,Wok Restaurant
日韩料理,Asahi
日韩料理,Kisso
日韩料理,Fangzhou Risto Wok
日韩料理,Yoki
日韩料理,Ristorante Giapponese Sushi Ren / Ya
日韩料理,Chez Coco
日韩料理,Hayashi Sushi
日韩料理,Gado Sushi
日韩料理,Take Sushi
日韩料理,Yakiniku Roma
日韩料理,Nagoya
日韩料理,AkariSushi
日韩料理,Temakinho Monti
日韩料理,Daruma Sushi Piazza Bologna
日韩料理,Fuji
日韩料理,Sushi Wo
日韩料理,Cin Cin Sushi
日韩料理,Sakura e Koi
日韩料理,Yuki
日韩料理,Wok 2
日韩料理,Al Buon Ricordo
日韩料理,Joi
日韩料理,Yoshi Restaurant
日韩料理,Daruma Sushi - Parioli
日韩料理,Cen Sushi
日韩料理,Sushi Sun Cafe'
日韩料理,Wok & Roll
日韩料理,River Cafè
日韩料理,Sushiko
日韩料理,Heben
日韩料理,I-Gio
日韩料理,Daruma Sushi Rione Monti
日韩料理,Ristorante Giapponese Harusaki
日韩料理,Daifuku
日韩料理,Izumi
日韩料理,Fuji rastaurant
日韩料理,Sushime
日韩料理,Genkai 2
日韩料理,Cinapoli
日韩料理,Zen Fusion
日韩料理,Sapporo
日韩料理,La Grande Capitale
日韩料理,I Jo
日韩料理,Zenzero
日韩料理,Daruma Sushi - Ponte Milvio
日韩料理,Ristorante Tokyo
日韩料理,Tokyo 2
日韩料理,Tokio
日韩料理,Daruma Sushi
日韩料理,Xihu Magliana
日韩料理,Ristorante Giardino Wok
日韩料理,Miyabi 2
日韩料理,Arigato
日韩料理,Roma
日韩料理,La Citta D'oro
日韩料理,Giapponese
